Summary,Summary
"Account Dashboard","My Account Dashboard"
Menu,Menu
Account,My Account
Settings,Settings
Customer Login,Login
Sign In,Log In
Forgot Your Password?,Forgotten Password?
Starting at,From
"State/Province","County"
"Please select a region, state or province.","Please select a county"
Apply Discount Code,Promo Code
Enter discount code,Promo Code
Apply Discount,Apply
Cancel Coupon,Cancel
Estimate Shipping and Tax,Estimate Delivery and Tax
Add to Wish List,Wishlist
Add to Compare,Compare
"Shopping Cart","My Basket"
"Notify me when this product is in stock","Notify me"
Add to Cart,Add to Basket
Adding...,Adding to Basket
View Product,Add to Basket
"My Cart (1 item)","My Basket (1 item)"
"My Cart (%1 items)","My Basket (%1 items)"
"My Cart","My Basket"
"You added %1 to your shopping cart.","You added %1 to your shopping basket."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping basket right now."
"%1 was updated in your shopping cart.","%1 was updated in your shopping basket."
"We can't update the shopping cart.","We can't update the shopping basket."
"Display number of items in cart","Display number of items in basket"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty basket"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty basket"
"Shopping Cart Items","Shopping Basket Items"
"Clear Shopping Cart","Empty Basket"
"Update Shopping Cart","Update Basket"
"Update Cart","Update Basket"
"You have no items in your shopping cart.","You have no items in your shopping basket."
"Cart Subtotal","Subtotal"
"Edit Your Cart","Edit Your Basket"
"View and Edit Cart","View bag"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping basket?"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Basket"
"My Cart Link","My Basket Link"
"Display Cart Summary","Display Basket Summary"
"Shopping Cart Sidebar","Shopping Basket Sidebar"
"Display Shopping Cart Sidebar","Display Shopping Basket Sidebar"
"Item in Cart","Item in Basket"
"Items in Cart","Items in Basket"
"Show Cross-sell Items in the Shopping Cart","Show Cross-sell Items in the Shopping Basket"
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping basket</a>."
"Excl. tax","Excl. VAT"
"Incl. tax","Incl. VAT"
"Excl. Tax","Excl. VAT"
"Incl. Tax","Incl. VAT"
"Ship Here","Select"
"Ship here","Select"
"Once your package ships we will send an email with a link to track your order.",""
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Incorrect username or password, please try again.",
"Related Products","People also bought",
"HTML Sitemap","Sitemap"
"Out of stock","Stock Arriving Soon"
"My billing and shipping address are the same","Billing & Shipping are the same"
"has been added to your cart","has been added to your basket"
"Items Ordered","Order"
"Order Shipments","Shipments"
"Check Gift Card status","Check Gift Card Status"
ADD TO CART,Add to Basket
ADD TO CART,Add to Basket
Search results for: '%1',Results: '%1'
"Be the first to review this product","Be first to review"
"Proceed to Checkout","Proceed to Checkout"
"Continue Shopping","Continue Shopping"
Shipping,Shipping Details
Remove item,Remove
Related Articles,Blog
Thank you for your purchase!,Thank You For Your Order
Order Summary,Summary
More Information,Technical Specifications
Additional Address Entries,Additional Addresses,
Zip/Postal Code,Postcode
Add Your Review,Write Review
"Search entire store here...","Search Landscaping Direct"
"Create New Customer Account","Create Your Account"
"Create an Account","Create Account"
"Shop By","Filter Your Search"
"As low as","From"
Your Customization,Summary
"Clear All","Clear"
"Items %1-%2 of %3","Products %1-%2 of %3",Magento_Catalog
"%1 Item","%1 Product",Magento_Catalog
"%1 Items","%1 Products",Magento_Catalog
